sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,LOGGING AF,GORONTALO,GORONTALO,,2011.0,MINERAL,LARGE SCALE,7.8,2.8,9084.0,1500.0,Based on 30 years estimation using Gorontalo wage rate at 2010 price,skenario lahan,skenario lahan,skenario lahan,lahan,,,,ha,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
,,,,,,,,,,,,"Domestic price refers to Indonesia log price (domestic), sawlogs (Meranti) as in TTM ITTO report  ",tradable input,input,peralatan,Fuel,rp/liter,5281.44531478477,5825.467208307961,liter,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319,12327.169711876319
,,,,,,,,,,,,"International timber price: Malaysia log prices (Commodity price data, WB) ",tradable input,input,peralatan,Lubricants,rp/liter,16440.836842105266,16440.836842105266,liter,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906,280.16294799718906
,,,,,,,,,,,,Average annual cutting: 1500ha,tradable input,input,peralatan,Grease,rp/kg,34974.7,34974.7,kg,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777,23.03562016865777
,,,,,,,,,,,,Commercial standing stock: 18 m3/ha,tradable input,input,peralatan,Spare parts,rp/package,712145905.0,712145905.0,package,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,source: http://groups.yahoo.com/group/rimbawan-interaktif/message/6847,tradable input,input,peralatan,Office supplies,rp/package,36940258.0,36940258.0,package,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0
,,,,,,,,,,,,,tradable capital,input,tradable capital,Heavy machinary,rp/package,30460278650.0,103762939226.225,package/10 years,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
,,,,,,,,,,,,,tradable capital,input,tradable capital,Tools,rp/package,349501200.0,1190575842.8,package/5 years,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,
,,,,,,,,,,,,,factor labor,input,tenaga kerja admin,Administrative / managerial,rp/ps-year,594000000.0,594000000.0,,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Surveyor,rp/ha,792357.0279472009,792357.0279472009,ha,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
