sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,SAGU,PAPUA,PAPUA,JAYAPURA,2013,MINERAL,CROP,7.1,2.1,10337,1,Tidak dipupuk,bahan tanam /bibit,input,bahan tanam /bibit,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bibit yang digunakan: alam/cabutan,peralatan,input,peralatan,Parang,Rp/unit,250000,250000,unit,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,
,,,,,,,,,,,,"Dikelola turun-temurun, biasanya umur 4 tahun sudah menghasilkan",peralatan,input,peralatan,Kampak,Rp/unit,250000,250000,unit,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Linggis,Rp/unit,150000,150000,unit,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Karung,Rp/unit,3000,3000,unit,,,,,,,,,,800,,,,,"1,866,666,667",,,,,,,,,,800,,,,,"1,866,666,667"
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,tebas,Rp/HOK,75000,75000,HOK,40,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,bakar,Rp/HOK,75000,75000,HOK,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman,input,tenaga kerja,Lubang+Ajir+Tanam,Rp/HOK,75000,75000,HOK,10,1,,,,,,,,,,,,,,10,1,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan,input,tenaga kerja,Penyiangan,Rp/HOK,75000,75000,HOK,40,40,40,40,40,40,40,40,40,,40,40,40,40,,40,40,40,40,40,40,40,40,40,,40,40,40,40,
,,,,,,,,,,,,,tk pemanenan,input,tenaga kerja,Pemanenan,Rp/HOK,75000,75000,HOK,,,,,,,,,,200,,,,,"4,666,666,667",,,,,,,,,,200,,,,,"4,666,666,667"
,,,,,,,,,,,,,tk pemanenan,input,tenaga kerja,Transport ,Rp,10000,10000,Unit,,,,,,,,,,800,,,,,"1,866,666,667",,,,,,,,,,800,,,,,"1,866,666,667"
,,,,,,,,,,,,,tk paska panen,input,tenaga kerja,Peras Pati sagu,Rp/HOK,75000,75000,HOK,,,,,,,,,,200,,,,,"4,666,666,667",,,,,,,,,,200,,,,,"4,666,666,667"
,,,,,,,,,,,,,tk paska panen,input,tenaga kerja,Sewa Mesin,Rp,300000,300000,HOK,,,,,,,,,,40,,,,,"9,333,333,333",,,,,,,,,,40,,,,,"9,333,333,333"
,,,,,,,,,,,,,utama,output,utama,tepung sagu,Rp/kg,7500,7500,kg,,,,,,,,,,12000,,,,,28000,,,,,,,,,,12000,,,,,28000
