sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KARET AF,BANYUASIN,-,2014,GAMBUT,SMALLHOLDER,7,2,10337,input,bahan kimia,formic acid,Rp/botol,7000,7000,botol,,,,,,,,,8.9301,8.9301,8.9301,12.75,12.75,11.985,11.985,11.985,11.985,11.985,11.985,11.985,8.9046,8.9046,8.9046,8.9046,8.9046,8.9046,8.9046,8.9046,8.9046,8.9046
,,,,,,,,,,input,bahan tanam /bibit,padi,Rp/kg,4000,4000,kg,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,bahan tanam /bibit,karet lokal,Rp/btng,3000,3000,batang,550,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,peralatan,Pisau sadap,Rp/unit,20000,20000,unit,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,input,peralatan,Mangkok penampung (latex cup),Rp/unit,600,600,unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,peralatan,Ember karet,Rp/unit,10000,10000,pair,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2
,,,,,,,,,,input,peralatan,Cangkul,Rp/unit,100000,100000,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,input,peralatan,Parang,Rp/unit,75000,75000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,input,peralatan,Bak penampung,Rp/unit,95000,95000,unit,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,input,tenaga kerja,Tebas,Rp/HOK,60000,60000,hok,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Tumbang,Rp/HOK,60000,60000,hok,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Bakar,Rp/HOK,60000,60000,hok,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Pancang,Rp/HOK,60000,60000,hok,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja padi,Tugal dan tanam padi,Rp/HOK,60000,60000,hok,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja padi,Penyiangan,Rp/HOK,60000,60000,hok,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja padi,Bird + pig waching,Rp/HOK,60000,60000,hok,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja padi,Panen,Rp/HOK,60000,60000,hok,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja padi,Perontokan + Pengeringan,Rp/HOK,60000,60000,hok,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja karet,Pembuatan lubang + pagar + tanam,Rp/HOK,60000,60000,hok,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja karet,Penyiangan,Rp/HOK,60000,60000,hok,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,input,tenaga kerja karet,Pruning,Rp/HOK,60000,60000,hok,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja karet,Penyadapan,Rp/HOK,60000,60000,hok,0,0,0,0,0,0,0,0,90,157.5,192.15,192.15,192.15,200.925,196.65,192.15,188.1,183.6,179.55,175.05,171,166.5,162.45,157.95,153.9,149.4,145.35,136.8,128.25,119.7
,,,,,,,,,,input,tenaga kerja panen,panen durian,rp,60000,60000,hok,,,,,,,,,,,,2,,,8,,,8,,,8,,,8,,,8,,,8
,,,,,,,,,,input,tenaga kerja panen,panen duku,rp,60000,60000,hok,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,input,tenaga kerja panen,panen jengkol,rp,60000,60000,hok,,,,,,,,,,,,2,2,3,3,4,4,5,7,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,output,sampingan,Padi,Rp/kg,6000,6000,kg,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,output,utama,Karet basah,Rp/kg,9500,9500,kg,0,0,0,0,0,0,222.36,561,893.01,893.01,893.01,1275,1275,1198.5,1198.5,1198.5,1198.5,1198.5,1198.5,1198.5,890.46,890.46,890.46,890.46,890.46,890.46,890.46,890.46,890.46,890.46
,,,,,,,,,,output,sampingan,Durian ,Rp/btr,4000,4000,butir,,,,,,,,,,,,100,,,200,,,300,,,300,,,300,,,300,,,300
,,,,,,,,,,output,sampingan,Duku,Rp/kg,4000,4000,kg,,,,,,,,,,,,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
,,,,,,,,,,output,sampingan,Jengkol ,Rp/kg,6000,6000,kg,,,,,,,,,,,,100,150,300,300,350,400,500,600,600,600,600,600,600,600,600,600,600,600,600
