sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,JAGUNG,RIAU,PELALAWAN,teluk meranti dan kuala lampar,2019,MINERAL,CROP,7,2,13700,1,Bibit lokal tidak membeli,input,input,bahan kimia,Herbisida,Rp/Lt,50000,50000,lt,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,,,,,,,,Asumsi setahun 2 kali panen,input,input,bahan tanam/bibit,bibit jagung,Rp/kg,8000,8000,kg,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
,,,,,,,,,,,,,input,input,peralatan,Sprayer,Rp/unit,250000,250000,unit,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
,,,,,,,,,,,,,input,input,peralatan,Parang,Rp/unit,50000,50000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,input,input,tenaga kerja,Persiapan Lahan,Rp/HOK,100000,100000,HOK,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
,,,,,,,,,,,,,input,input,tenaga kerja,Pemeliharaan parit,Rp/HOK,60000,60000,HOK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,,,,input,input,tenaga kerja,Penanaman (Tugal dan tanam),Rp/HOK,100000,100000,HOK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,input,input,tenaga kerja,Penyiangan/penyemprotan,Rp/HOK,100000,100000,HOK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,,input,input,tenaga kerja,Panen,Rp/HOK,100000,100000,HOK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,,input,input,tenaga kerja,Pasca panen (kupas dan jemur),Rp/HOK,100000,100000,HOK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,,,,output,output,utama,Jagung, Rp/kg,4000,2000,Kg,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
